name,reference,description
"SMAA (Importance coefficients, with stakeholder preferences)",Adaptation from https://www.sciencedirect.com/science/article/abs/pii/S1364815217308393 with inclusion of stakeholders' preferences,"Impacts are weighted based on random sampling from a space of weight vectors, usually assuming a uniform distribution (but other distributions can be used). The space of weight vectors is constrained by the preferences of decision makers, experts or other stakeholders. The meaning of the weights is the one of importance coefficients. Several statistical conclusions about the results of interest can be computed (e.g., probability of winning in a comparative study)."
Budget contraint,"https://doi.org/10.1016/j.ecolecon.2008.01.019;
https://www.scorelca.org/en/studies-lca.php#rapport4;
https://doi.org/10.1016/j.jclepro.2014.08.007","A monetary valuation method where the marginal value of a Quality-Adjusted Life Year is identified on the basis of the
potential economic production per capita per year. It builds on Ecoindicator 99 values and its AoP indicators, DALY, PDF, and MJ resource depletion."
Abatement cost,https://doi.org/10.1016/j.jclepro.2014.08.007; https://doi.org/10.1162/108819805775247855; https://doi.org/10.1162/108819805775248016; https://www.witpress.com/elibrary/eco-volumes/1/2/2588,"Cost for control of emissions or replacements to reach certain  targets. Often, maximum marginal abatement costs (MAC)  are used or marginal abatement costs."
Market Price,https://doi.org/10.1016/j.jclepro.2014.08.007; http://naturvardsverket.se/Documents/publikationer/afr-r-253-se.pdf; https://www.iso.org/standard/43243.html; http://dx.doi.org/10.1787/9789264085169-en,"A monetary valuation method where the marginal value of a good is identified on the basis of its market price (Pizzol et al.2015)
Market price methods determine monetary values of change in the environment and not the absolute value of the environment."
Contingent valuation,"http://econdse.org/wp-content/uploads/2016/07/Freeman-Herriges-Kling-2014.pdf;
https://www.e-elgar.com/shop/gbp/cost-benefit-analysis-and-the-environment-9781852784553.html; https://www.iso.org/standard/43243.html; https://www.elsevier.com/books/encyclopedia-of-energy-natural-resource-and-environmental-economics/shogren/978-0-12-375067-9
Johnston et al. (2017) [https://www.journals.uchicago.edu/doi/10.1086/691697]","Through Contingent valuation, values non-marketed goods (marketed or not) are valued inby surveys. In these surveys, hypothetical markets for the respective environmental good are created. Then the participants are asked how much they would be willing to pay for an increase of the availability of an environmental quality (WTP) or how much they would have to be compensated for to accept a certain decline in an environmental quality (WTA). The contingent valuation method (CVM) is a stated preference method. A group of respondents are asked hypothetical questions directly about their values for the environmental good. Contingent valuation includes a description of the resource or policy context, a description of the policy or proposed change in resource allocation that will be valued, a payment vehicle, and a payment rule."
Conjoint analysis,https://doi.org/10.1007/BF02994194; https://doi.org/10.1007/s11367-012-0379-x; https://doi.org/10.1007/s11367-017-1372-1,"Conjoint analysis values the utility of individual attributes of maketed and non-marketed goods by surveys. In these surveys, hypothetical markets for the respective attributes of a good  are created. Several options with a combination of different conditions of the attributes are provided multiple times in surveys. Then the participants are asked which option with a set of the attributes is the most preferable, and their utility of each attribute is quantified by statistical analysis. Conjoint analysis is a stated preference method. A group of respondents are asked hypothetical questions implicitly about their utilities for the attributes of the environment (i.e. the AoPs). "
Averting behaviour,"https://www.iso.org/standard/43243.html;
http://dx.doi.org/10.1787/9789264085169-en;
https://www.springer.com/gp/book/9781402014451","Taken from Dickie (2017), with some changes: 
Methods based on averting behavior (or avoidance, defensive, mitigating, or protective behavior) take as their main premise the notion that individuals and households can insulate themselves from a non-market bad by selecting more costly types of behavior. These behaviors might be more costly in terms of the time requirements they imply, or of the restrictions they impose on what the individual would otherwise wish to do. Alternatively, individuals might be able to avoid exposure to non-market bads via the purchase of a market good. These financial outlays are known as defensive expenditures. The value of each of these purchases represents an implicit price for the non-market good or bad in question.
Note that ISO 14008 distinguishes three kinds of averting cost methods. Here only the one is described whose costs accrue due to individual averting behavior while methods relying on costs decided by public bodies are treated under “abatement costs”.  Further note that according to ISO 14008, these costs may be used for monetary valuation only after a spending or a commitment to spending will have been made."
Travel cost,https://www.iso.org/standard/43243.html; http://dx.doi.org/10.1787/9789264085169-en; https://www.springer.com/gp/book/9781402014451,"Travel Cost Methods are used to estimate recreation demand and value recreational uses of the environment such as fishing, rock climbing, hunting, boating, etc. Different cost components exist: cost of the journey to the destination in question including costs related to transport, lodging, food, entertainment, time spent and entrance fees, if any"
Hedonic Pricing,https://www.iso.org/standard/43243.html; http://dx.doi.org/10.1787/9789264085169-en; https://www.springer.com/gp/book/9781402014451,"Taken from Taylor (2017) and ISO 14008: Heterogeneous or differentiated goods are products whose characteristics vary in such a way that there are distinct product varieties even though the product is sold in one market (e.g., cars, computers, houses). The variation in product variety gives rise to variations in product prices within each market. The hedonic method relies on market transactions for these differentiated goods to determine the implied value or implicit price of characteristics. The hedonic pricing method uses statistical methods to isolate the implicit “price” of each of these characteristics. The most common application of hedonic theory in environmental valuation involves housing markets. The choice of housing location and, therefore, neighborhood amenities (such as scenic views, less air or noise pollution), is observable. The method can also be applied to labor markets in particular with respect to risks of death."
CRITIC,https://doi.org/https://doi.org/10.1016/0305-0548(94)00059-H,CRITIC stands for “Criteria Importance Through Intercriteria Correlation”. The method considers the standard deviation of each normalized criterion (contrast intensity) and the linear correlation between them (conflict).
Data envelopment Analysis,https://doi.org/10.1057/palgrave.jors.2600342; https://doi.org/10.1007/s11205-006-9029-7; https://doi.org/10.1007/978-1-4419-6151-8; https://doi.org/10.1007/s11205-017-1832-9,"Data Envelopment Analysis (DEA) is a mathematical programming approach to assess the relative efficiency of a number of systems being compared. The efficiency score (eco-efficiency, or other) involves weighting multiple indicators. Each system under evaluation is allowed to choose the weighting vector that makes it compare in the best possible way against its peers. This is done by optimizing the efficiency score for each system under assessment with the weights as variables to be set. The system is deemed to be efficient if no other systems perform better given the chosen weights vector. DEA when used in the context of composite indicator construction is named “‘Benefit-of-the-Doubt’ approach."
Entropy,https://doi.org/10.1007/978-3-642-48318-9,"The method relies on the information theory to measure the amount of useful information that can be obtained. When the evaluated alternatives have a great difference between each other on a particular impact category indicator, the entropy is smaller, meaning that the impact category indicator provides more effective information, and therefore, the weight value corresponding to that indicator should be larger. On the contrary, when the differences are smaller, the entropy is larger, which shows that the amount of information provided by the indicator is smaller, and therefore, its weight value should be correspondingly smaller."
Factor Analysis,https://doi.org/10.1007/s11205-017-1832-9; https://doi.org/10.1016/j.ecolind.2017.05.068; https://www.oecd.org/sdd/42495745.pdf ,"Factor analysis (FA) is a multivariate analysis method similar to principal components analysis (PCA). It has been widely used to reduce the dimensionality of the data by identifying unknown latent variables to explain the original data.  Contrary to the PCA, which is based simply on the linear combination of the data, FA assumes that the data is based on the underlying factors of the model, and that the data variance can be decomposed into the variance accounted for by common and unique factors. Each factor is defined as a set of coefficients (so-called loadings), each measuring the correlation between the individual impact category indicators and the latent factor. Furthermore, FA is often used when there is interest in studying relations among the variables, while PCA is used when there is a greater emphasis on data reduction and less on interpretation.
The weights allocated to each impact category indicator are determined according to the proportion of its variance that is explained by the factor it is associated to. The largest factor loadings are allocated to the impact category indicators with the largest variation across the dataset, whereas smaller factor loadings are allocated to the impact category indicators with less variation across the dataset."
Principal Component Analysis,https://doi.org/10.1007/s11205-017-1832-9; https://doi.org/10.1016/j.ecolind.2017.05.068; https://www.oecd.org/sdd/42495745.pdf ,"The method consists of transforming the decision matrix into a series of equations (as many as the number of indicators), representing linear transformation of the original data, in such a way that the maximum variance of the original impact category indicators is explained with the first equation, the second-highest variance (which is not explained by the first equation) is explained by the second equation, and so on. The linear combinations of the original indicators are called principal components. The factor loading of the first principal components are rotated to minimize the number of individual variables that have a high loading on the same component. These factors are generally considered the indicators weights. Furthermore, the largest factor loadings are assigned to the indicators with the largest variation across the dataset, whereas smaller factor loadings are assigned to the indicators with less variation across the dataset."
Regression analysis,https://doi.org/10.1016/j.ecolind.2017.05.068; https://publications.jrc.ec.europa.eu/repository/handle/JRC31473;  https://doi.org/10.1111/j.1467-985X.2012.01059.x  ,"Regression analysis is a statistical method to assess the relationship between a set of independent variables (indicators) and a dependent variable (an outcome measure) based on observation data.
For example, Karl Pearson’s correlation ratio (also known as the first order sensitivity index) is calculated with respect to the composite indicator, i.e., the index obtained from the aggregation of the individual indicators. This correlation ratio is a coefficient of nonlinear association and can be considered as ex post measure of importance."
Carrying capacity,https://www.sciencedirect.com/science/article/pii/S1470160X19304832; https://link.springer.com/article/10.1007/s11367-015-0899-2,Carrying capacity estimates from the literature matching existing LCIA midpoint impact indicators are used to develop weighting factors.
Planetary boundaries,https://www.sciencedirect.com/science/article/pii/S0959652612003198; https://www.science.org/doi/10.1126/science.1259855,"Planetary boundaries estimates from the literature (mainly: Rockstrom et al. 2009; Steffen et al.) are used to develop weighting factors to applicable impact categories at midpoint or, potentially, endpoint. "
EDIP97,https://publications.jrc.ec.europa.eu/repository/handle/JRC67215; https://www.springer.com/gp/book/9780412808005; https://www.springer.com/gp/book/9780412808104,"EDIP methodology is focused on the use of LCA for product development. It is a generic and full-fledged methodology. 
There are 2 versions of the EDIP method: EDIP97 and EDIP2003. Later servers as a follow-up, not an update, but a spatially differentiated alternative. Only EDIP97 has a weighting of environmental impacts included.
The basis for weighting in EDIP 97 is political environmental targets within each impact category (set as a reduction in society´s impact on the environment) and considers only binding targets. The original set of weighting factors was defined for Denmark. Weighting is performed only at midpoint level (EDIP methodology only has indicators at this level). 
"
Swiss Eco-Scarcity,"Frischknecht R., Büsser Knöpfel S. 2013: Ökofaktoren Schweiz 2013 gemäss der Methode der ökologischen Knappheit. Methodische Grundlagen und Anwendung auf die Schweiz. Bundesamt für Umwelt, Bern. Umwelt-Wissen Nr. 1330: 256 S.: https://www.aramis.admin.ch/Default?DocumentID=61250&Load=true","Environmental exchanges are evaluated in relation to political targets for Switzerland (and lately extended to other geography, e.g. the EU)."
